Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
SAP.DE,141.16,2023/11/22,17:36 CET,1.7200012,139.78,142.08,139.72,1901856,20221227,97.47,4.0,,,,
ITX.MC,36.87,2023/11/22,17:35 CET,-0.010002136,37.0,37.07,36.44,1753885,20220502,19.985,26.0,,,,
NOKIA.HE,3.2545,2023/11/22,18:29 EET,0.015999794,3.234,3.2685,3.23,7788493,20221227,4.4045,148.0,,,,
RACE.MI,335.3,2023/11/22,17:35 CET,5.1999817,331.8,336.5,331.3,229250,20221227,199.6,3.0,,,,
VER.VI,81.9,2023/11/22,17:35 CET,-1.699997,81.7,83.0,81.05,88779,20220502,101.2,2.0,,,,
VER.VI,81.9,2023/11/22,17:35 CET,-1.699997,81.7,83.0,81.05,88779,20221227,79.6,6.0,,,,
LIN.DE,378.05,2023/11/22,17:35 CET,0.0,377.85,379.8,374.3,13957,20221227,310.85,2.0,,,,
ENEL.MI,6.391,2023/11/22,17:35 CET,-0.025000095,6.41,6.443,6.321,29562808,20220502,6.202,31.0,,,,
ENEL.MI,6.391,2023/11/22,17:35 CET,-0.025000095,6.41,6.443,6.321,29562808,20221227,5.096,70.0,,,,
MRK.DE,159.6,2023/11/22,17:35 CET,-3.699997,163.9,164.9,159.6,394892,20220502,174.45,3.0,,,,
RBI.VI,15.83,2023/11/22,17:37 CET,0.0,15.81,15.95,15.76,508993,20220502,10.77,17.0,,,,
RBI.VI,15.83,2023/11/22,17:37 CET,0.0,15.81,15.95,15.76,508993,20221227,15.46,14.0,,,,
EBS.VI,36.0,2023/11/22,17:35 CET,0.11000061,35.89,36.17,35.8,216774,20220502,,9.0,,,,
EBS.VI,36.0,2023/11/22,17:35 CET,0.11000061,35.89,36.17,35.8,216774,20221227,29.94,7.0,,,,
ATS.VI,24.76,2023/11/22,17:35 CET,-0.6000004,25.5,25.74,24.76,98039,20221227,32.0,14.0,,,,
AMS.MC,63.6,2023/11/22,17:35 CET,0.5,63.08,63.8,63.08,513429,20220502,59.68,8.0,,,,
REN.AS,34.82,2023/11/22,17:35 CET,0.36999893,34.76,34.93,34.56,534917,20221227,26.2,16.0,,,,
SU.PA,165.24,2023/11/22,17:35 CET,1.3600006,164.14,166.44,164.06,693939,20220502,134.28,3.0,,,,
AI.PA,172.84,2023/11/22,17:35 CET,1.2599945,172.1,173.06,171.6,496906,20220502,164.2,3.0,,,,
WDP.BR,25.14,2023/11/22,17:36 CET,0.34000015,24.76,25.3,24.76,200970,20220502,36.98,9.0,,,,
WDP.BR,25.14,2023/11/22,17:36 CET,0.34000015,24.76,25.3,24.76,200970,20221227,26.48,6.0,,,,
KBC.BR,52.44,2023/11/22,17:35 CET,0.29999924,52.18,52.7,52.16,507861,20221227,60.58,5.0,,,,
BAS.DE,43.72,2023/11/22,17:35 CET,-0.09000015,43.945,44.15,43.505,1635008,20220502,47.905,2.0,,,,
BAS.DE,43.72,2023/11/22,17:35 CET,-0.09000015,43.945,44.15,43.505,1635008,20221227,46.76,4.0,,,,
CNHI.MI,9.202,2023/11/22,17:35 CET,-0.0040006638,9.21,9.286,8.75,9650195,20221227,15.275,20.0,,,,
NEXI.MI,6.96,2023/11/22,17:35 CET,-0.059999943,7.032,7.058,6.934,2164935,20220502,9.432,27.0,,,,
NEXI.MI,6.96,2023/11/22,17:35 CET,-0.059999943,7.032,7.058,6.934,2164935,20220502,9.438,3.0,,,,
NEXI.MI,6.96,2023/11/22,17:35 CET,-0.059999943,7.032,7.058,6.934,2164935,20221227,7.346,10.0,,,,
BAYN.DE,32.815,2023/11/22,17:44 CET,-1.170002,33.76,34.095,32.65,9749377,20220502,60.47,6.0,,,,
JMT.LS,21.92,2023/11/22,16:35 WET,0.0,21.86,21.92,21.74,632278,20220502,19.82,14.0,,,,
BNP.PA,56.58,2023/11/22,17:35 CET,0.12000275,56.63,56.77,56.36,976809,20220502,48.955,5.0,,,,
VNA.DE,24.91,2023/11/22,17:37 CET,0.22999954,24.7,25.24,24.7,1745485,20220502,35.98,8.0,,,,
VNA.DE,24.91,2023/11/22,17:37 CET,0.22999954,24.7,25.24,24.7,1745485,20221227,21.8,4.0,,,,
PHIA.AS,19.51,2023/11/22,17:35 CET,0.17000008,19.298,19.524,19.238,1295744,20220502,24.875,5.0,,,,
PHIA.AS,19.51,2023/11/22,17:35 CET,0.17000008,19.298,19.524,19.238,1295744,20221227,14.002,14.0,,,,
ISP.MI,2.541,2023/11/22,17:39 CET,0.01549983,2.5345,2.5655,2.5305,55691837,20220502,1.926,50.0,,,,
ISP.MI,2.541,2023/11/22,17:39 CET,0.01549983,2.5345,2.5655,2.5305,55691837,20221227,2.0845,80.0,,,,
BBVA.MC,8.372,2023/11/22,17:35 CET,0.07600021,8.3,8.386,8.298,11327942,20220502,4.9055,10.0,,,,
BBVA.MC,8.372,2023/11/22,17:35 CET,0.07600021,8.3,8.386,8.298,11327942,20220502,4.9055,2.0,,,,
BBVA.MC,8.372,2023/11/22,17:35 CET,0.07600021,8.3,8.386,8.298,11327942,20221227,5.659,33.0,,,,
ZAL.DE,23.07,2023/11/22,17:35 CET,0.020000458,22.84,23.3,22.83,634423,20220502,37.28,2.0,,,,
ZAL.DE,23.07,2023/11/22,17:35 CET,0.020000458,22.84,23.3,22.83,634423,20221227,33.07,5.0,,,,
CS.PA,28.24,2023/11/22,17:35 CET,0.03999901,28.275,28.49,28.17,2072849,20220502,25.17,4.0,,,,
CS.PA,28.24,2023/11/22,17:35 CET,0.03999901,28.275,28.49,28.17,2072849,20221227,26.51,6.0,,,,
AMP.MI,28.34,2023/11/22,17:35 CET,0.42000008,27.98,28.35,27.98,297443,20221227,26.97,10.0,,,,
UBI.PA,30.0,2023/11/22,17:35 CET,-0.26000023,30.21,30.52,29.96,221667,20220502,42.85,2.0,,,,
UBI.PA,30.0,2023/11/22,17:35 CET,-0.26000023,30.21,30.52,29.96,221667,20221227,26.5,8.0,,,,
OMV.VI,39.8,2023/11/22,17:35 CET,-0.40000153,40.6,40.8,39.71,379724,20220502,49.08,2.0,,,,
OMV.VI,39.8,2023/11/22,17:35 CET,-0.40000153,40.6,40.8,39.71,379724,20221227,49.94,3.0,,,,
IIA.VI,19.1,2023/11/22,17:35 CET,0.88000107,18.2,19.1,18.16,304624,20220502,22.98,5.0,,,,
IIA.VI,19.1,2023/11/22,17:35 CET,0.88000107,18.2,19.1,18.16,304624,20221227,11.55,15.0,,,,
IFX.DE,33.465,2023/11/22,17:38 CET,0.06499863,33.305,33.755,32.965,4760153,20221227,28.565,8.0,,,,
UMG.AS,23.74,2023/11/22,17:35 CET,0.10000038,23.55,24.03,23.5,994153,20221227,22.545,10.0,,,,
ETE.AT,6.2,2023/11/22,17:19 EET,-0.09000015,6.084,6.232,6.056,12096000,20221227,3.698,60.0,,,,
UCB.BR,68.56,2023/11/22,17:36 CET,0.5799942,67.94,68.88,67.84,251153,20221227,74.2,3.0,,,,
HO.PA,140.65,2023/11/22,17:35 CET,0.5499878,140.6,142.1,140.2,171721,20221227,119.3,2.0,,,,
NESN.SW,100.3,2023/11/22,17:30 CET,0.55000305,99.9,100.46,99.67,2259866,20220503,125.38,2.0,,,,
ENI.MI,14.724,2023/11/22,17:37 CET,-0.21000004,14.97,15.004,14.588,10782526,20220502,13.32,16.0,,,,
AD.AS,26.725,2023/11/22,17:35 CET,0.18499947,26.615,26.82,26.575,1545029,20220502,28.225,2.0,,,,
AD.AS,26.725,2023/11/22,17:35 CET,0.18499947,26.615,26.82,26.575,1545029,20221227,27.805,6.0,,,,
SHELL.AS,29.77,2023/11/22,17:39 CET,-0.64500046,30.5,30.54,29.535,9216428,20221227,27.27,8.0,,,,
STM.MI,,,,,,,,,20221227,33.57,6.0,,,,
MRL.MC,8.87,2023/11/22,17:35 CET,0.19999981,8.75,8.93,8.745,740480,20221227,8.78,23.0,,,,
TEN.MI,15.33,2023/11/22,17:35 CET,-0.21000004,15.595,15.635,15.145,3001143,20221227,16.665,13.0,,,,
LHA.DE,7.978,2023/11/22,17:36 CET,0.13800001,7.81,8.017,7.781,3577329,20221227,8.208,24.0,,,,
IAG.MC,1.824,2023/11/22,17:35 CET,0.03999996,1.7825,1.836,1.776,13775781,20221227,1.4605,120.0,,,,
TTE.PA,61.85,2023/11/22,17:36 CET,-1.1000023,63.29,63.5,61.11,4483162,20220502,46.815,3.0,,,,
ABI.BR,57.63,2023/11/22,17:35 CET,0.8100014,56.9,57.65,56.89,1265376,20220502,54.5,3.0,,,,
DTE.DE,21.74,2023/11/22,17:35 CET,0.14999962,21.59,21.78,21.55,4718651,20220502,17.54,2.0,,,,
UNA.AS,43.795,2023/11/22,17:35 CET,0.17499924,43.75,43.91,43.585,1058928,,,,,,,
PPC.AT,10.35,2023/11/22,17:14 EET,0.24000072,10.2,10.35,10.2,242754,,,,,,,
BIRG.IR,8.732,2023/11/22,16:42 GMT,0.06400013,8.648,8.8,8.61,1345960,,,,,,,
BN.PA,58.55,2023/11/22,17:35 CET,0.3600006,58.5,58.76,58.36,747462,,,,,,,
EDP.LS,4.27,2023/11/22,16:35 WET,0.032999992,4.235,4.271,4.224,4183122,,,,,,,
GALP.LS,13.255,2023/11/22,16:35 WET,-0.19999981,13.48,13.57,13.135,1938120,,,,,,,
OR.PA,429.65,2023/11/22,17:35 CET,4.0,425.0,431.2,424.3,245171,,,,,,,
NOS.LS,3.4,2023/11/22,16:35 WET,0.008000135,3.398,3.424,3.384,365518,,,,,,,
TKA.DE,7.062,2023/11/22,17:44 CET,0.43999958,6.606,7.192,6.606,9895718,,,,,,,
TEF.MC,3.824,2023/11/22,17:35 CET,0.041999817,3.796,3.839,3.787,9342740,,,,,,,
VIV.PA,8.712,2023/11/22,17:35 CET,0.055999756,8.656,8.82,8.656,1108563,,,,,,,
REP.MC,13.78,2023/11/22,17:35 CET,-0.08500004,13.9,13.93,13.7,4395321,,,,,,,
ORA.PA,11.084,2023/11/22,17:35 CET,0.03999996,11.068,11.126,11.062,2816041,,,,,,,
SAN.MC,3.7465,2023/11/22,17:35 CET,0.020499945,3.7355,3.755,3.7175,27335636,,,,,,,
EOAN.DE,11.6,2023/11/22,17:35 CET,0.055000305,11.575,11.665,11.545,3254040,,,,,,,
EDF.PA,,,,,,,,,,,,,,,
HEN.DE,62.24,2023/11/22,17:35 CET,0.5400009,62.0,62.24,61.8,103034,,,,,,,
INGA.AS,12.684,2023/11/22,17:37 CET,-0.045999527,12.72,12.776,12.624,8333363,,,,,,,
CA.PA,17.18,2023/11/22,17:35 CET,0.27000046,16.965,17.255,16.94,1584804,,,,,,,
PROX.BR,8.714,2023/11/22,17:35 CET,0.012000084,8.71,8.746,8.672,246946,,,,,,,
SHL.DE,51.3,2023/11/22,17:35 CET,0.91999817,50.34,51.48,50.34,568498,,,,,,,
EVN.VI,26.85,2023/11/22,17:35 CET,0.10000038,26.65,27.0,26.65,47860,,,,,,,
ADS.DE,187.36,2023/11/22,17:35 CET,2.2200012,185.8,187.4,185.08,449628,,,,,,,
SON.LS,0.9295,2023/11/22,16:35 WET,0.007999957,0.922,0.93,0.922,1266635,,,,,,,
DTG.DE,29.4,2023/11/22,17:35 CET,0.0,29.47,29.65,29.25,903670,,,,,,,
BMW.DE,94.24,2023/11/22,17:36 CET,0.6899948,93.9,94.57,93.24,911571,,,,,,,
FORTUM.HE,12.37,2023/11/22,18:29 EET,-0.06000042,12.43,12.565,12.33,642242,,,,,,,
UPM.HE,31.94,2023/11/22,18:29 EET,-0.7499981,32.69,32.88,31.77,999235,,,,,,,
