Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ATS.VI,24.76,2023/11/22,17:35 CET,-0.6000004,25.5,25.74,24.76,98039,20230103,33.7,6.0,,,,
REN.AS,34.82,2023/11/22,17:35 CET,0.36999893,34.76,34.93,34.56,534917,20230103,26.33,7.0,,,,
BMW.DE,94.24,2023/11/22,17:36 CET,0.6899948,93.9,94.57,93.24,911571,20230103,86.3,2.0,,,,
JMT.LS,21.92,2023/11/22,16:35 WET,0.0,21.86,21.92,21.74,632278,20230103,20.47,8.0,,,,
FORTUM.HE,12.37,2023/11/22,18:29 EET,-0.06000042,12.43,12.565,12.33,642242,20230103,16.145,15.0,,,,
MRL.MC,8.87,2023/11/22,17:35 CET,0.19999981,8.75,8.93,8.745,740480,20230103,9.075,17.0,,,,
ENI.MI,14.724,2023/11/22,17:37 CET,-0.21000004,14.97,15.004,14.588,10782526,20230103,13.78,12.0,,,,
ZAL.DE,23.07,2023/11/22,17:35 CET,0.020000458,22.84,23.3,22.83,634423,20230103,36.49,5.0,,,,
AMS.MC,63.6,2023/11/22,17:35 CET,0.5,63.08,63.8,63.08,513429,20230103,49.76,3.0,,,,
DTG.DE,29.4,2023/11/22,17:35 CET,0.0,29.47,29.65,29.25,903670,20230103,29.78,5.0,,,,
VNA.DE,24.91,2023/11/22,17:37 CET,0.22999954,24.7,25.24,24.7,1745485,20230103,23.68,7.0,,,,
CS.PA,28.24,2023/11/22,17:35 CET,0.03999901,28.275,28.49,28.17,2072849,20230103,26.64,5.0,,,,
ETE.AT,6.2,2023/11/22,17:19 EET,-0.09000015,6.084,6.232,6.056,12096000,20230103,3.797,35.0,,,,
TEN.MI,15.33,2023/11/22,17:35 CET,-0.21000004,15.595,15.635,15.145,3001143,20230103,16.505,8.0,,,,
CNHI.MI,9.202,2023/11/22,17:35 CET,-0.0040006638,9.21,9.286,8.75,9650195,20230103,15.39,8.0,,,,
BAYN.DE,32.815,2023/11/22,17:44 CET,-1.170002,33.76,34.095,32.65,9749377,20230103,49.255,2.0,,,,
IFX.DE,33.465,2023/11/22,17:38 CET,0.06499863,33.305,33.755,32.965,4760153,20230103,29.53,1.0,,,,
